Client Region,Server Region,Download Time (ms)
Amsterdam,Amsterdam,29
Amsterdam,Amsterdam,21
Amsterdam,Amsterdam,22
Amsterdam,Amsterdam,21
Amsterdam,Amsterdam,33
Amsterdam,Amsterdam,22
Amsterdam,Amsterdam,26
Amsterdam,Amsterdam,22
Amsterdam,Amsterdam,22
Amsterdam,Amsterdam,26
Amsterdam,Amsterdam,29
Amsterdam,Amsterdam,21
Amsterdam,Amsterdam,22
Amsterdam,Amsterdam,21
Amsterdam,Amsterdam,21
Amsterdam,Amsterdam,21
Amsterdam,Amsterdam,33
Amsterdam,Amsterdam,22
Amsterdam,Amsterdam,27
Amsterdam,Amsterdam,25
Amsterdam,Amsterdam,19
Sydney,Amsterdam,859
Sydney,Amsterdam,840
Sydney,Amsterdam,836
Sydney,Amsterdam,926
Sydney,Amsterdam,855
Sydney,Amsterdam,1000
Sydney,Amsterdam,864
Sydney,Amsterdam,1100
Sydney,Amsterdam,868
Sydney,Amsterdam,887
Sydney,Amsterdam,711
Sydney,Amsterdam,942
Sydney,Amsterdam,694
Sydney,Amsterdam,833
Sydney,Amsterdam,814
Sydney,Amsterdam,873
Sydney,Amsterdam,872
Sydney,Amsterdam,834
Sydney,Amsterdam,813
Sydney,Amsterdam,852
Sydney,Amsterdam,858
Sydney,Amsterdam,863
Dellas (Texas),Amsterdam,507
Dellas (Texas),Amsterdam,372
Dellas (Texas),Amsterdam,367
Dellas (Texas),Amsterdam,350
Dellas (Texas),Amsterdam,547
Dellas (Texas),Amsterdam,383
Dellas (Texas),Amsterdam,551
Dellas (Texas),Amsterdam,369
Dellas (Texas),Amsterdam,462
Dellas (Texas),Amsterdam,353
Dellas (Texas),Amsterdam,432
Dellas (Texas),Amsterdam,359
Dellas (Texas),Amsterdam,380
Dellas (Texas),Amsterdam,362
Dellas (Texas),Amsterdam,345
Dellas (Texas),Amsterdam,385
Dellas (Texas),Amsterdam,339
Dellas (Texas),Amsterdam,217
Dellas (Texas),Amsterdam,403
Dellas (Texas),Amsterdam,401
Dellas (Texas),Amsterdam,459
Dellas (Texas),Amsterdam,421
Dellas (Texas),Amsterdam,587
Sao Paulo,Amsterdam,802
Sao Paulo,Amsterdam,857
Sao Paulo,Amsterdam,864
Sao Paulo,Amsterdam,684
Sao Paulo,Amsterdam,566
Sao Paulo,Amsterdam,694
Sao Paulo,Amsterdam,700
Sao Paulo,Amsterdam,708
Sao Paulo,Amsterdam,745
Sao Paulo,Amsterdam,684
Sao Paulo,Amsterdam,710
Sydney,Sydney,360
Sydney,Sydney,340
Sydney,Sydney,384
Sydney,Sydney,346
Sydney,Sydney,330
Sydney,Sydney,339
Sydney,Sydney,338
Sydney,Sydney,380
Sydney,Sydney,317
Sydney,Sydney,354
Sydney,Sydney,334
Sydney,Sydney,332
Sydney,Sydney,336
Sydney,Sydney,333
Sydney,Sydney,313
Sydney,Sydney,340
Sydney,Sydney,321
Sydney,Sydney,332
Sydney,Sydney,413
Sydney,Sydney,292
Sydney,Sydney,345
Sydney,Sydney,346
Dellas (Texas),Dellas (Texas),183
Dellas (Texas),Dellas (Texas),190
Dellas (Texas),Dellas (Texas),189
Dellas (Texas),Dellas (Texas),176
Dellas (Texas),Dellas (Texas),185
Dellas (Texas),Dellas (Texas),168
Dellas (Texas),Dellas (Texas),195
Dellas (Texas),Dellas (Texas),210
Dellas (Texas),Dellas (Texas),193
Dellas (Texas),Dellas (Texas),186
Dellas (Texas),Dellas (Texas),189
Dellas (Texas),Dellas (Texas),183
Dellas (Texas),Dellas (Texas),190
Dellas (Texas),Dellas (Texas),189
Dellas (Texas),Dellas (Texas),176
Dellas (Texas),Dellas (Texas),185
Dellas (Texas),Dellas (Texas),168
Dellas (Texas),Dellas (Texas),195
Dellas (Texas),Dellas (Texas),210
Dellas (Texas),Dellas (Texas),193
Dellas (Texas),Dellas (Texas),186
Dellas (Texas),Dellas (Texas),189
Dellas (Texas),Dellas (Texas),195
Sao Paulo,Dellas (Texas),311
Sao Paulo,Dellas (Texas),289
Sao Paulo,Dellas (Texas),307
Sao Paulo,Dellas (Texas),305
Sao Paulo,Dellas (Texas),285
Sao Paulo,Dellas (Texas),270
Sao Paulo,Dellas (Texas),290
Sao Paulo,Dellas (Texas),305
Sao Paulo,Dellas (Texas),318
Sao Paulo,Dellas (Texas),292
Sao Paulo,Dellas (Texas),320
Sao Paulo,Dellas (Texas),300
Sao Paulo,Dellas (Texas),300
Sao Paulo,Dellas (Texas),318
Sao Paulo,Dellas (Texas),309
Sao Paulo,Dellas (Texas),281
Sao Paulo,Dellas (Texas),290
Sao Paulo,Dellas (Texas),292
Sao Paulo,Dellas (Texas),266
Sao Paulo,Dellas (Texas),288
Sao Paulo,Dellas (Texas),307
